First Modifier;Category;Code;Remarks;
Unspecified;;0;;
Assassination;Crime;1;;
Execution (Wrongful Killing);Crime;2;;
Hijacking/Hijacked;Crime;3;;
House–to–House;Military Information Support Operations;4;;
Kidnapping;Crime;5;;
Murder;Crime;6;;
Piracy;Crime;7;;
Rape;Crime;8;;
Written Military Information Support Operations;Military Information Support Operations;9;;
Pirate;Crime;10;;
FALSE;IED Category;11;;
Find;IED Category;12;;
Found and Cleared;IED Category;13;;
Hoax (Decoy);IED Category;14;;
Attempted;Incident Qualifier;15;;
Accident;Incident Qualifier;16;;
Incident;Incident Qualifier;17;;
Theft;Crime;18;;
Hijacker;Crime;19;;
Cyberspace;Capability;20;;
{Reserved for future use};;21-99;;
Version Extension Flag;;-;;
