Second Modifier;Category;Code;Remarks;
Unspecified;;0;;
Air;Missile Destination;1;;
Surface;Missile Destination;2;;
Subsurface;Missile Destination;3;;
Space;Missile Destination;4;;
Launched;Missile Status;5;;
Missile;Missile Status;6;;
Patriot;Missile Type-BMD;7;;
Standard Missile-2 (SM-2);Missile Type-AAW;8;;
Standard Missile-6 (SM-6);Missile Type-AAW;9;;
Evolved Sea Sparrow Missile (ESSM);Missile Type-AAW;10;;
Rolling Airframe Missile (RAM);Missile Type-AAW;11;;
Short Range;Missile Range;12;;
Medium Range;Missile Range;13;;
Intermediate Range;Missile Range;14;;
Long Range;Missile Range;15;;
Intercontinental;Missile Range;16;;
{Reserved for future use};;17-99;;
Version Extension Flag;;-;;
