First Modifier;Category;Code;Remarks;
Unspecified;;0;;
Assassination;Crime;1;;
Execution (Wrongful Killing);Crime;2;;
Murder Victims;Crime;3;;
Hijacking/Hijacked;Crime;4;;
Kidnapping;Crime;5;;
Piracy;Crime;6;;
Rape;Crime;7;;
Civilian;Organization;8;;
Displaced Person(s), Refugee(s) and Evacuee(s);Organization;9;;
Foreign Fighter(s);Organization;10;;
Gang Member or Gang;Organization;11;;
Government Organization;Organization;12;;
Leader or Leadership;Organization;13;;
Nongovernmental Organization Member or Nongovernmental Organization;Organization;14;;
Unwilling/Coerced Recruit;Organization;15;;
Willing Recruit;Organization;16;;
Religious or Religious Organization;Organization;17;;
Targeted Individual or Organization;Organization;18;;
Terrorist or Terrorist Organization;Organization;19;;
Speaker;Organization;20;;
Accident;Composite Loss;21;;
Combat;Composite Loss;22;;
Other;Composite Loss;23;;
Loot;Crime;24;;
Hijacker;Crime;25;;
Cyberspace;Capability;26;;
{Reserved for future use};;27-99;;
Version Extension Flag;;-;;
