First Modifier;Category;Code;Remarks;
Unspecified;;0;;
Biological;Sensor Type;1;;
Chemical;Sensor Type;2;;
Early Warning Radar;Sensor Type;3;;
Intrusion;Sensor Type;4;;
Nuclear;Sensor Type;5;;
Radiological;Sensor Type;6;;
Upgraded Early Warning Radar;Sensor Type;7;;
Hijacking/Hijacked;Crime;8;;
Civilian;Organization;9;;
Tilt-Rotor;Capability;10;;
{Reserved for future use};;11;;
Multi-purpose Blade;Capability;12;;
Tank-width Mine Plow;Capability;13;;
Bridge;Capability;14;;
Cyberspace;Capability;15;;
Armored;Capability;16;;
Attack;Capability;17;;
Cargo;Capability;18;;
Maintenance;Capability;19;;
MedEvac;Capability;20;;
Petroleum, oil, and lubricants (POL);Capability;21;;
Utility;Capability;22;;
Water;Capability;23;;
Robotic;Capability;24 ;;
{Reserved for future use};;2425-99;;
Version Extension Flag;;-;;
 Per SCP 17-018-AR Add Robotic sectors 1 & 2 equipment modifier;;;;
