First Modifier;Category;Code;Remarks;
Unspecified;;0;;
Antisubmarine Warfare;Mission Area;1;;
Auxiliary;Mission Area;2;;
Command and Control;Mission Area;3;;
Intelligence, Surveillance, Reconnaissance;Mission Area;4;;
Mine Countermeasures;Mission Area;5;;
Mine Warfare;Mission Area;6;;
Surface Warfare;Mission Area;7;;
Attack;Weapons Capability;8;;
Ballistic Missile ;Weapons Capability;9;;
Guided Missile ;Weapons Capability;10;;
Other Guided Missile;Weapons Capability;11;;
Special Operations Forces (SOF);Asset Capability;12;;
Possible Submarine Low 1 ;Submarine Confidence;13;;
Possible Submarine Low 2;Submarine Confidence;14;;
Possible Submarine High 3;Submarine Confidence;15;;
Possible Submarine High 4;Submarine Confidence;16;;
Probable Submarine;Submarine Confidence;17;;
Certain Submarine;Submarine Confidence;18;;
Anti-torpedo Torpedo;Weapons Capability;19;;
Hijacking/Hijacked;Crime;20;;
Hijacker;Crime;21;;
Cyberspace;Capability;22;;
{Reserved for future use};;23-99;;
Version Extension Flag;;-;;
