First Modifier;Category;Code;Remarks;
Unspecified;Mission Area;0;;
Own Ship;Mission Area;1;APP6;
Antiair Warfare;Mission Area;2;;
Antisubmarine Warfare;Mission Area;3;;
Escort;Mission Area;4;;
Electronic Warfare;Mission Area;5;;
Intelligence, Surveillance, Reconnaissance;Mission Area;6;;
Mine Countermeasures;Mission Area;7;;
Missile Defense;Mission Area;8;;
Medical;Mission Area;9;;
Mine Warfare;Mission Area;10;;
Remote Mult-imission Vehicle (RMV);Mission Area;11;USV–only;
Special Operations Forces (SOF);Asset Capability;12;;
Surface Warfare;Mission Area;13;;
Ballistic Missile ;Weapons Capability;14;;
Guided Missile ;Weapons Capability;15;;
Other Guided Missile ;Weapons Capability;16;;
Torpedo;Weapons Capability;17;;
Drone–Equipped;Asset Capability;18;;
Helicopter–Equipped/VSTOL;Asset Capability;19;;
Ballistic Missile Defense, Shooter ;Mission Area;20;;
Ballistic Missile Defense, Long-Range Surveillance and Track (LRS&T);Mission Area;21;;
Sea-Base X-Band;Mission Area;22;;
Hijacking/Hijacked;Crime;23;;
Hijacker;Crime;24;;
Cyberspace;Capability;25;;
{Reserved for future use};;26-99;;
Version Extension Flag;;-;;
