Second Modifier;Category;Code;Remarks;
Unspecified;;0;;
Nuclear Powered;Ship Propulsion;1;;
Heavy;Ship Capacity;2;;
Light;Ship Capacity;3;;
Medium;Ship Capacity;4;;
Dock;Cargo Capacity;5;;
Logistics;Cargo Capacity;6;;
Tank;Cargo Capacity;7;;
Vehicle;Cargo Capacity;8;;
Fast;Ship Mobility;9;;
Air–Cushioned (US);Ship Mobility;10;;
Air–Cushioned (NATO);Ship Mobility;11;;
Hydrofoil;Ship Mobility;12;;
Autonomous Control;USV Control;13;;
Remotely Piloted;USV Control;14;;
Expendable;USV Control;15;;
Cyberspace;Capability;16;;
{Reserved for future use};;17-99;;
Version Extension Flag;;-;;
