First Modifier;Category;Code;Remarks;
Unspecified;;0;;
Short Range;Missile Range;1;;
Medium Range;Missile Range;2;;
Intermediate Range;Missile Range;3;;
Long Range;Missile Range;4;;
Intercontinental ;Missile Range;5;;
Arrow;Missile Type-BMD;6;;
Ground-Based Interceptor (GBI);Missile Type-BMD;7;;
Patriot;Missile Type-BMD;8;;
Standard Missile Terminal Phase (SM-T);Missile Type-BMD;9;;
Standard Missile – 3 (SM-3);Missile Type-BMD;10;;
Terminal High Altitude Area Defense (THAAD);Missile Type-BMD;11;;
Space;Launch Origin;12;;
Close Range (CRBM);Missile Range;13;;
Debris;Missile Type-BMD;14;;
Unknown;Missile Type-BMD;15;;
{Reserved for future use};;16-99;;
Version Extension Flag;;-;;
